question,answer
The efferent limb of the cremasteric reflex is provided the-,Genital branch of the genitofemoral nerve
Froment's sign is positive in cases of weakness of ?,Thumb adduction
A 32-year-old woman is admitted to the emergency department after an automobile collision. Radiographic examination reveals multiple fractures of the humerus. Flexion and supination of the forearm are severely weakened. She also has loss of sensation on the lateral surface of the forearm. Which of the following nerves has most likely been injured?,Musculocutaneous
S.A. node acts as a pacemaker of the hea because of the fact that it:,Generates impulses at the highest rate.
The stereocilia of hair cells are embedded in which membrane?,Tectorial
"The nerve that supplies skin over the angle of mandible, if involved in parotid injuries forms a part of anatomical basis for gustatory sweating:",Greater auricular nerve
Unfamiliarity of familiar things is seen in :,Jamais vu
"A symmetric high-voltage, triphasic slow wave pattern is seen on EEG in the following",Hepatic encephalopathy
Most common intra abdominal solid organ tumor in child is-,Neuroblastoma
"A patient is more talkative than usual. He used to speak loudly. While talking, he rapidly shifts from topic to topic. He also keeps himself busy in chatting or messaging friends. Likely diagnosis of such a case:March 2013 (f)",Mania
Serial 7 substraction is used to test ?,Working memory
Diencephalon represents,3rd ventricle
Which one of the following is not a prion associated disease -,Alzheimer's disease
Comment on the site of damage for a patient exhibiting the following symptom?,Neocerebellum
Prelabour pains are mediated through,Tit-T12
Purkinje cells of cerebellum are connected to,All of the above
Mechanism of action of zeulton is?,Inhibits Lipoxygenase
Hamaoma is,Proliferation of native cells in tissue
Which herniation is the one that leads to brain stem injury-,Cerebellar tonsils
Most common paroxysmal symptom of pheochromocytoma:,Headache
Most common nerve injury associated with thyroid surgery,External branch of superior laryngeal nerve
"Damage to lower pons, leaving upper pons intact, will result in:","Rapid, shallow breathing"
Mechanism of action on ondensetron -,5 HT3 antagonist
Site of b-oxidation is ?,Mitochondria
An enzyme that protects the brain from free radical injury is -,Superoxide dismutase
Root value of intercostobrachial nerve is,T2
A transection made at the lower end of medulla through the pyramids would cause all/except:,Involuntary movements
"Following several days of 12-hour daily rehearsals of the symphony orchestra for a performance of a Wagnerian opera, the 52-year-old male conductor experienced such excruciating pain in the posterior aspect of his right forearm that he could no longer direct the musicians. When the maestro's forearm was palpated 2 cm distal to, and posteromedial to, the lateral epicondyle, the resulting excruciating pain caused the conductor to weep. Injections of steroids and rest were recommended to ease the pain. Which of the following injuries is most likely?",Compression of the deep radial nerve by the supinator
Most diffusable ion in excitable tissue is -,K+
which of the following tricyclic antidepressent used for peripheral neuropathy,amitriptilline
Which aery does not contribute to Little's area,Posterior ethmoidal aery
Normal intracranial pressure in a child is:,10-15 mm of Hg
Enzyme deficiency in Hurler syndrome?,a-l-Iduronidase
When the sympathetic nervous system is activated:,Norepinephrine is released from axons onto the arteriolar wall
SSPE. My son is 33years of age and did not have the measles vaccination.Could SSPE occur at this age or in the future?,"Subacute sclerosing panencephalitis: Subacute sclerosing panencephalitis (SSPE) is a progressive, disabling, and deadly brain disorder related to measles (rubeola) infection. The disease develops many years after the measles infection. Normally, the measles virus does not cause brain damage. But an abnormal immune response to measles or, possibly, certain mutant forms of the virus may cause severe illness and death. This response leads to brain inflammation (swelling and irritation) that may last for years. SSPE has been reported in all parts of the world, but in western countries it is a rare disease. Very few cases are seen in the U.S. since the nationwide measles vaccination program. SSPE tends to occur several years after a person has measles, even though the person seems to have fully recovered from the illness. Males are more often affected than females. The disease generally occurs in children and adolescents. Symptoms of SSPE occur in four general stages. With each stage, the symptoms are worse than the stage before: - Stage I: There may be personality changes, mood swings, or depression. Fever and headache may also be present. This stage may last up to 6 months. - Stage II: There may be uncontrolled movement problems including jerking and muscle spasms. Other symptoms that may occur in this stage are loss of vision, dementia, and seizures. - Stage III: Jerking movements are replaced by writhing (twisting) movements and rigidity. Death may occur from complications. - Stage IV: Areas of the brain that control breathing, heart rate, and blood pressure are damaged. This leads to coma and then death. There may be a history of measles in an unvaccinated child. A physical examination may reveal: - Damage to the optic nerve, which is responsible for sight - Damage to the retina, the part of the eye that receives light - Muscle twitching - Poor performance on motor (movement) coordination tests The following tests may be performed: - Electroencephalogram (EEG) - Brain MRI - Serum antibody titer to look for signs of previous measles infection - Spinal tap No cure for SSPE exists. However, certain antiviral drugs and drugs that boost the immune system may slow the progression of the disease. SSPE is always fatal. People with this disease die 1 to 3 years after diagnosis. Some people may survive longer. Call your health care provider if your child has not completed their scheduled vaccines. The measles vaccine is included in the MMR vaccine. Immunization against measles is the only known prevention for SSPE. The measles vaccine has been highly effective in reducing the numbers of affected children. Measles immunization should be done according to the recommended American Academy of Pediatrics and Centers for Disease Control schedule. Updated by: Amit M. Shelat, DO, FACP, Attending Neurologist and Assistant Professor of Clinical Neurology, SUNY Stony Brook, School of Medicine. Review provided by VeriMed Healthcare Network. Also reviewed by David Zieve, MD, MHA, Isla Ogilvie, PhD, and the A.D.A.M. Editorial team."
Homozygout MTHFR A1298C Health Issues and long term prognosis?. What is your position on Homozygout MTHFR A1298C Health Issues and long term prognosis?,"MTHFR gene variant (Inheritance): Because each person has two copies of the MTHFR gene , people can inherit one copy of a  MTHFR gene variant or two copies of it (one from each parent). People who inherit two copies of C677T have a higher risk for having a child with a neural tube defect. Having two C677T variants and elevated homocysteine levels may cause a slightly higher risk for blood clots. [7]  Risks associated with having one C677T and one A1298C is the same, or possibly slightly lower than, that of having two C677T gene changes. [7] [4] Rare MTHFR gene variants can lead to homocystinuria, which is inherited in an autosomal recessive  manner. [12] Visit our "" Homocystinuria due to MTHFR deficiency"" webpage."
